file,engine,runs,energy_uj,real_sec,user_sec,sys_sec
binary-trees-7.js,v8,1,434997,0.02,0.00,0.01
binary-trees-7.js,v8-13.3.404,1,443541,0.02,0.00,0.01
binary-trees-7.js,v8-12.2.149,1,404052,0.01,0.00,0.01
binary-trees-7.js,sm-146.0,1,420348,0.02,0.01,0.00
binary-trees-7.js,sm-127.0,1,423339,0.02,0.01,0.00
binary-trees-7.js,sm-114.0.1,1,422972,0.02,0.01,0.00
binary-trees-7.js,jsc,1,502135,0.02,0.01,0.01
binary-trees-7.js,graaljs,1,1814814,0.09,0.07,0.02
binary-trees-7.js,graaljs-24.1.1,1,1599056,0.08,0.06,0.02
binary-trees-7.js,graaljs-23.0.2,1,1840083,0.09,0.05,0.03
binary-trees-7.js,hermes,1,264831,0.01,0.00,0.00
binary-trees-7.js,hermes-0.12.0,1,246459,0.01,0.00,0.00
binary-trees-7.js,qjs,1,515685,0.02,0.02,0.00
binary-trees-7.js,quickjs-0.7.0,1,518432,0.02,0.01,0.00
binary-trees-7.js,quickjs-0.1.0,1,527465,0.02,0.01,0.00
binary-trees-7.js,xs,1,877256,0.04,0.02,0.02
binary-trees-7.js,xs-5.3.0,1,921567,0.04,0.02,0.02
binary-trees-7.js,xs-4.3.4,1,894895,0.04,0.02,0.02
fannkuch-redux.js,v8,1,590392,0.02,0.01,0.01
fannkuch-redux.js,v8-13.3.404,1,584776,0.02,0.01,0.01
fannkuch-redux.js,v8-12.2.149,1,566282,0.02,0.01,0.01
fannkuch-redux.js,sm-146.0,1,515563,0.02,0.01,0.00
fannkuch-redux.js,sm-127.0,1,533507,0.02,0.01,0.00
fannkuch-redux.js,sm-114.0.1,1,546080,0.02,0.02,0.00
fannkuch-redux.js,jsc,1,568846,0.02,0.01,0.01
fannkuch-redux.js,graaljs,1,12124237,0.64,0.60,0.04
fannkuch-redux.js,graaljs-24.1.1,1,9902441,0.52,0.48,0.04
fannkuch-redux.js,graaljs-23.0.2,1,7526714,0.39,0.35,0.04
fannkuch-redux.js,hermes,1,1244321,0.06,0.06,0.00
fannkuch-redux.js,hermes-0.12.0,1,1205441,0.06,0.05,0.00
fannkuch-redux.js,qjs,1,3464530,0.18,0.18,0.00
fannkuch-redux.js,quickjs-0.7.0,1,2732415,0.14,0.13,0.00
fannkuch-redux.js,quickjs-0.1.0,1,1633114,0.08,0.07,0.00
fannkuch-redux.js,xs,1,3875661,0.20,0.18,0.02
fannkuch-redux.js,xs-5.3.0,1,4277088,0.22,0.20,0.02
fannkuch-redux.js,xs-4.3.4,1,4309681,0.22,0.20,0.02
fasta-8.js,v8,1,687742,0.03,0.02,0.01
